"Feed name","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"Calliandra calothyrsus","114111","92.93","22.08","37.51","6.28","16.81","93.67","2.00","8.00","","","10.20","","","","","","","","","","Ethiopia"
"Calliandra calothyrsus","114112","94.18","21.98","38.31","6.60","14.31","93.23","1.60","8.60","","","6.70","","","","","","","","","","Ethiopia"
"Calliandra calothyrsus","114113","93.31","19.79","37.53","6.00","13.25","92.77","0.70","9.10","","","5.60","","","","","62.09","9.46","5.86","3.39","5.86","Ethiopia"
"Calliandra calothyrsus","114114","93.40","22.11","36.31","6.40","14.75","94.03","1.00","9.00","","","7.10","","","","","62.71","9.71","6.07","3.60","6.02","Ethiopia"
"Calliandra calothyrsus","114115","91.60","22.90","37.42","7.88","15.06","89.80","1.60","17.20","","","4.60","","","","","61.85","9.12","5.52","3.10","5.61","Ethiopia"
"Calliandra calothyrsus","114116","93.35","22.40","35.82","8.88","13.75","88.19","1.20","19.00","","","3.60","","","","","64.35","9.25","5.65","3.22","5.73","Ethiopia"
"Calliandra calothyrsus","120581","90.78","","","","25.81","90.89","","","","","","","","","","","","","","","Nigeria"
"Calliandra calothyrsus","120584","88.77","","","","24.44","85.01","","","","","","","","","","","","","","","Nigeria"
"Calliandra calothyrsus","120586","87.07","55.37","57.84","32.51","27.06","85.89","","","","","","","","","","","","","","","Nigeria"
"Calliandra calothyrsus","120589","87.87","46.27","53.42","26.08","26.63","90.43","","","","","","","","","","","","","","","Nigeria"
"Calliandra calothyrsus","121046","89.63","26.53","43.68","10.03","20.44","93.57","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","121076","90.54","28.97","53.24","11.23","21.25","93.83","","","","","","","","","","","","","","","Kenya"
