"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"56472","Sweet potato stem + vines","92.05","30.33","36.19","9.64","18.16","77.29","","","","","38.60","","","","","63.13","7.87","4.35","2.05","4.73","Rwanda"
"56473","Sweet potato stem + vines","91.69","26.21","32.80","9.67","21.54","77.25","","","","","41.90","","","","","63.74","7.91","4.39","2.05","4.77","Rwanda"
"56474","Sweet potato stem + vines","91.75","27.79","34.20","8.88","18.26","80.04","","","","","36.80","","","","","65.17","8.41","4.85","2.51","5.10","Rwanda"
"56475","Sweet potato stem + vines","91.67","27.54","33.91","8.98","20.25","77.90","","","","","39.60","","","","","64.01","8.03","4.52","2.18","4.85","Rwanda"
"56476","Sweet potato stem + vines","93.42","28.57","38.05","8.38","17.92","83.03","","","","","28.20","","","","","63.18","8.49","4.94","2.59","5.19","Rwanda"
"56477","Sweet potato stem + vines","91.86","23.71","33.18","7.13","20.98","81.37","","","","","31.10","","","","","65.54","8.62","5.06","2.68","5.27","Rwanda"
"56478","Sweet potato stem + vines","91.65","28.10","36.24","8.68","17.20","81.23","","","","","32.70","","","","","64.01","8.41","4.85","2.51","5.10","Rwanda"
"56479","Sweet potato stem + vines","92.55","26.22","35.59","6.27","19.70","82.87","","","","","27.50","","","","","65.42","8.79","5.23","2.85","5.40","Rwanda"
"56480","Sweet potato stem + vines","92.66","22.62","31.03","5.19","22.76","81.23","","","","","28.70","","","","","68.68","9.00","5.40","3.01","5.52","Rwanda"
"56481","Sweet potato stem + vines","92.24","23.02","31.29","4.65","18.99","82.91","","","","","29.60","","","","","68.89","9.20","5.61","3.18","5.69","Rwanda"
"56482","Sweet potato stem + vines","92.81","23.96","33.39","4.79","20.27","83.50","","","","","25.30","","","","","68.68","9.25","5.65","3.22","5.69","Rwanda"
"56483","Sweet potato stem + vines","92.52","24.13","34.42","5.53","20.21","84.31","","","","","25.30","","","","","68.38","9.33","5.73","3.31","5.77","Rwanda"
"56484","Sweet potato stem + vines","92.84","24.25","32.81","5.76","21.07","79.42","","","","","33.40","","","","","67.99","8.66","5.10","2.72","5.31","Rwanda"
"56485","Sweet potato stem + vines","93.40","22.08","30.61","4.85","22.94","82.59","","","","","28.20","","","","","71.06","9.46","5.82","3.39","5.86","Rwanda"
"56486","Sweet potato stem + vines","92.38","24.72","33.26","6.63","20.84","81.88","","","","","30.10","","","","","66.76","8.83","5.23","2.89","5.40","Rwanda"
"56487","Sweet potato stem + vines","92.67","27.25","36.98","6.16","17.61","84.48","","","","","27.40","","","","","69.46","9.46","5.82","3.39","5.86","Rwanda"
"56488","Sweet potato stem + vines","92.96","25.06","33.11","6.22","18.77","80.65","","","","","31.60","","","","","66.96","8.66","5.10","2.72","5.31","Rwanda"
"56489","Sweet potato stem + vines","92.06","24.22","34.30","6.69","21.74","83.61","","","","","25.30","","","","","65.54","8.87","5.27","2.89","5.44","Rwanda"
"56490","Sweet potato stem + vines","91.88","29.51","38.86","7.36","17.85","84.68","","","","","25.70","","","","","66.57","9.12","5.52","3.14","5.61","Rwanda"
"56491","Sweet potato stem + vines","91.77","23.64","34.76","6.13","21.32","81.87","","","","","27.00","","","","","66.35","8.74","5.19","2.80","5.36","Rwanda"
"56492","Sweet potato stem + vines","92.27","21.72","31.35","5.01","20.21","83.08","","","","","25.30","","","","","68.95","9.25","5.65","3.22","5.69","Rwanda"
"56493","Sweet potato stem + vines","92.59","21.83","32.55","4.66","21.21","84.21","","","","","22.20","","","","","68.75","9.37","5.73","3.31","5.77","Rwanda"
"56494","Sweet potato stem + vines","92.56","25.79","28.93","5.11","19.86","82.07","","","","","20.90","","","","","68.28","9.04","5.44","3.05","5.56","Rwanda"
"56495","Sweet potato stem + vines","92.66","23.58","31.45","4.79","20.88","83.89","","","","","20.70","","","","","67.77","9.20","5.61","3.18","5.69","Rwanda"
"56496","Sweet potato stem + vines","91.14","29.48","37.65","10.37","19.66","76.59","","","","","42.50","","","","","61.74","7.61","4.10","1.80","4.56","Rwanda"
"56497","Sweet potato stem + vines","92.42","26.90","37.56","5.21","14.83","87.49","","","","","19.80","","","","","74.25","10.46","6.74","4.18","6.57","Rwanda"
"56498","Sweet potato stem + vines","92.33","29.00","38.94","8.34","16.08","82.28","","","","","28.40","","","","","61.68","8.24","4.69","2.38","4.98","Rwanda"
"56499","Sweet potato stem + vines","90.87","33.96","40.31","12.31","15.92","75.07","","","","","39.90","","","","","","","","","","Rwanda"
"56500","Sweet potato stem + vines","92.77","26.15","34.94","6.22","18.60","80.83","","","","","31.50","","","","","66.21","8.62","5.06","2.68","5.27","Rwanda"
"56501","Sweet potato stem + vines","92.32","24.64","32.54","6.77","20.99","81.90","","","","","27.10","","","","","65.26","8.66","5.10","2.72","5.31","Rwanda"
"56502","Sweet potato stem + vines","93.28","25.44","31.75","5.39","20.47","83.32","","","","","22.30","","","","","67.12","9.04","5.44","3.05","5.56","Rwanda"
"56503","Sweet potato stem + vines","92.89","28.73","35.57","8.07","18.02","79.69","","","","","34.10","","","","","65.59","8.41","4.85","2.51","5.10","Rwanda"
"56504","Sweet potato stem + vines","91.64","31.13","36.65","10.38","15.48","79.50","","","","","39.80","","","","","63.74","8.16","4.60","2.30","4.94","Rwanda"
"56505","Sweet potato stem + vines","92.81","26.03","32.93","8.34","20.21","77.91","","","","","41.80","","","","","66.73","8.33","4.77","2.43","5.06","Rwanda"
"56506","Sweet potato stem + vines","92.40","28.25","38.59","7.13","13.84","87.58","","","","","23.10","","","","","63.47","9.04","5.44","3.05","5.56","Rwanda"
"56507","Sweet potato stem + vines","91.75","26.56","36.93","7.62","16.80","86.73","","","","","28.90","","","","","63.91","9.04","5.44","3.05","5.56","Rwanda"
"56508","Sweet potato stem + vines","92.34","28.88","36.33","9.56","18.57","77.91","","","","","37.20","","","","","64.19","8.03","4.52","2.18","4.85","Rwanda"
"56509","Sweet potato stem + vines","92.83","23.04","32.44","6.43","22.51","84.35","","","","","24.70","","","","","68.44","9.33","5.73","3.31","5.77","Rwanda"
"56510","Sweet potato stem + vines","94.54","22.61","32.18","4.39","20.35","83.58","","","","","26.70","","","","","71.02","9.58","5.94","3.51","5.94","Rwanda"
"56511","Sweet potato stem + vines","93.52","24.99","33.76","5.59","21.98","82.52","","","","","26.30","","","","","67.46","9.00","5.40","3.01","5.52","Rwanda"
"56512","Sweet potato stem + vines","93.11","25.90","35.83","5.44","17.94","86.49","","","","","18.90","","","","","68.67","9.62","5.98","3.51","5.98","Rwanda"
"56513","Sweet potato stem + vines","92.97","22.66","32.64","5.24","19.82","87.11","","","","","23.60","","","","","69.76","9.83","6.15","3.68","6.11","Rwanda"
"56514","Sweet potato stem + vines","92.73","21.44","30.08","5.52","24.39","81.65","","","","","32.40","","","","","72.40","9.46","5.82","3.39","5.86","Rwanda"
"56515","Sweet potato stem + vines","92.91","21.88","31.09","4.92","22.43","85.58","","","","","21.80","","","","","72.38","10.00","6.32","3.85","6.23","Rwanda"
"56516","Sweet potato stem + vines","93.46","20.08","28.28","5.33","24.39","82.43","","","","","30.80","","","","","73.98","9.79","6.11","3.68","6.11","Rwanda"
"56517","Sweet potato stem + vines","93.07","22.25","31.21","4.67","23.53","83.64","","","","","29.00","","","","","72.98","9.83","6.15","3.68","6.11","Rwanda"
"56518","Sweet potato stem + vines","93.11","21.04","30.82","4.73","22.18","84.45","","","","","26.30","","","","","72.08","9.83","6.15","3.68","6.11","Rwanda"
"56519","Sweet potato stem + vines","92.83","24.43","34.09","6.72","20.91","79.33","","","","","33.80","","","","","68.37","8.70","5.15","2.76","5.31","Rwanda"
"56520","Sweet potato stem + vines","93.17","21.91","29.75","3.74","23.88","81.37","","","","","24.10","","","","","69.98","9.16","5.56","3.14","5.65","Rwanda"
"56521","Sweet potato stem + vines","92.86","26.08","33.69","6.28","19.26","84.65","","","","","27.70","","","","","70.26","9.62","5.98","3.51","5.98","Rwanda"
"56522","Sweet potato stem + vines","92.64","22.86","31.51","5.50","20.55","83.62","","","","","23.20","","","","","68.93","9.29","5.69","3.26","5.73","Rwanda"
"56523","Sweet potato stem + vines","92.90","15.87","23.78","2.80","26.18","83.52","","","","","24.70","","","","","74.74","10.00","6.32","3.85","6.23","Rwanda"
"56524","Sweet potato stem + vines","92.89","24.14","36.13","5.93","18.57","87.18","","","","","23.20","","","","","66.57","9.46","5.82","3.39","5.86","Rwanda"
"56525","Sweet potato stem + vines","93.16","23.30","33.95","6.91","18.79","82.24","","","","","34.70","","","","","67.98","9.04","5.44","3.05","5.56","Rwanda"
"56526","Sweet potato stem + vines","93.06","25.12","36.74","5.57","19.10","88.47","","","","","19.70","","","","","69.49","10.00","6.32","3.85","6.23","Rwanda"
"56527","Sweet potato stem + vines","92.84","25.41","34.08","8.33","21.88","81.02","","","","","34.30","","","","","66.54","8.66","5.10","2.72","5.31","Rwanda"
"56528","Sweet potato stem + vines","92.26","23.87","34.80","6.27","20.93","85.58","","","","","25.60","","","","","67.38","9.33","5.73","3.31","5.77","Rwanda"
"56529","Sweet potato stem + vines","93.02","21.21","30.62","5.52","22.56","82.31","","","","","25.60","","","","","68.17","9.04","5.44","3.05","5.56","Rwanda"
"56530","Sweet potato stem + vines","93.82","18.81","29.32","3.17","21.63","85.39","","","","","18.40","","","","","70.71","9.75","6.11","3.64","6.07","Rwanda"
"56531","Sweet potato stem + vines","92.91","23.83","32.28","4.87","20.72","84.95","","","","","23.90","","","","","70.14","9.62","5.98","3.51","5.98","Rwanda"
"56533","Sweet potato stem + vines","92.62","24.34","31.77","5.53","19.95","83.72","","","","","25.50","","","","","66.65","9.04","5.44","3.05","5.56","Rwanda"
"56534","Sweet potato stem + vines","93.17","22.05","29.65","4.19","20.77","84.39","","","","","19.20","","","","","68.85","9.41","5.77","3.35","5.82","Rwanda"
"56535","Sweet potato stem + vines","92.53","28.04","34.98","9.90","21.60","78.04","","","","","39.50","","","","","66.72","8.33","4.77","2.43","5.06","Rwanda"
"56536","Sweet potato stem + vines","92.21","27.18","32.67","9.50","23.10","77.30","","","","","40.00","","","","","70.00","8.66","5.10","2.72","5.31","Rwanda"
